,cluster
Gene_000,2
Gene_001,2
Gene_002,2
Gene_003,2
Gene_004,2
Gene_005,2
Gene_006,2
Gene_007,2
Gene_008,2
Gene_009,2
Gene_010,2
Gene_011,2
Gene_012,2
Gene_013,2
Gene_014,2
Gene_015,2
Gene_016,1
Gene_017,1
Gene_018,1
Gene_019,1
Gene_020,1
Gene_021,1
Gene_022,1
Gene_023,1
Gene_024,1
Gene_025,1
Gene_026,1
Gene_027,1
Gene_028,1
Gene_029,1
Gene_030,1
Gene_031,0
Gene_032,0
Gene_033,0
Gene_034,0
Gene_035,0
Gene_036,0
Gene_037,0
Gene_038,0
Gene_039,0
Gene_040,0
Gene_041,0
Gene_042,0
Gene_043,0
Gene_044,0
Gene_045,0
Gene_046,1
Gene_047,1
Gene_048,1
Gene_049,1
